id,variant_color,variant_size,normalized_size,normalized_color,size_type,product_name,category_name,category_path
ae44f489-7144-4826-997e-99dbc96fb7e1,White,36,UK 3.5,White,,Givenchy White cotton shirt,Shirts,women/clothing/shirts
79b41a3b-a7b2-4615-832e-3f21b3399551,White,38,UK 3.5,White,,Givenchy White cotton shirt,Shirts,women/clothing/shirts
d0114f58-66a7-4d4d-9090-1662c45ada73,Black,36,UK 3.5,Black,,MM6 Maison Margiela Flat shoes Black,Flat Shoes,women/shoes/flat-shoes
c62681cd-2daf-43a1-b2d9-47537ff7137f,Black,37,UK 3.5,Black,,MM6 Maison Margiela Flat shoes Black,Flat Shoes,women/shoes/flat-shoes
0286c784-7987-4f26-b6a3-9dd5cdcc67ba,Black,37.5,UK 3.5,Black,,MM6 Maison Margiela Flat shoes Black,Flat Shoes,women/shoes/flat-shoes
f0b61781-b51a-4acd-8460-2e578b5a1fd2,Black,40,UK 6.5,Black,,Dolce & Gabbana Dolce&Gabbana Black satin bustier dress,Dresses,women/clothing/dresses
acf079f3-30a2-41b0-a435-6641235170a4,Black,44,UK 6.5,Black,,Dolce & Gabbana Dolce&Gabbana Black satin bustier dress,Dresses,women/clothing/dresses
f358228d-9999-4da2-b54f-022736b9f668,Black,36,UK 3.5,Black,,Acne Studios Black satin dress with scarf,Dresses,women/clothing/dresses
56eed9a8-c69c-46b6-8a40-25ff36bbe446,Black,38,UK 3.5,Black,,Acne Studios Black satin dress with scarf,Dresses,women/clothing/dresses
1b54cd29-ecde-4906-a843-19746db28327,White,39,UK 6,White,,Maison Margiela Sneakers White,Sneakers,men/shoes/sneakers
f0a9d80e-9886-44e0-ab1e-0a256de58da8,White,40,UK 6,White,,Maison Margiela Sneakers White,Sneakers,men/shoes/sneakers
c8b5a1a7-6b31-4ffa-be6f-e3607554eec7,White,40.5,UK 6,White,,Maison Margiela Sneakers White,Sneakers,men/shoes/sneakers
f1348704-987c-4323-9310-4ffe3ca3f237,White,41,UK 6,White,,Maison Margiela Sneakers White,Sneakers,men/shoes/sneakers
b1ff0590-f0f2-47b0-ad98-d7a7957945b5,Black,42,UK 6.5,Black,,Sportmax Black mini skirt in wool,Skirts,women/clothing/skirts
b6ad4c88-1929-400a-9eea-87a12ad64412,Black,36,UK 6,Black,,Maison Margiela Flat shoes Black,Flat Shoes,women/shoes/flat-shoes
92d0d631-dbbb-4be0-8e1e-885d9fefde3d,Black,37,UK 6,Black,,Maison Margiela Flat shoes Black,Flat Shoes,women/shoes/flat-shoes
6addf089-2819-4de6-8d46-441f1a0b0a38,Black,37.5,UK 6,Black,,Maison Margiela Flat shoes Black,Flat Shoes,women/shoes/flat-shoes
5dc20aa8-32f1-4fbe-a20e-866e2a8e1805,Black,38,UK 6,Black,,Maison Margiela Flat shoes Black,Flat Shoes,women/shoes/flat-shoes
b86a0afc-8cf6-425c-b503-6a22dba85cd3,Black,38.5,UK 6,Black,,Maison Margiela Flat shoes Black,Flat Shoes,women/shoes/flat-shoes
e7a3fa44-b5ef-43d8-bebd-3bafe6929869,Black,1,,Black,,Zimmermann Cut-out swimsuit,Beachwear & underwear,women/clothing/beachwear-underwear
d51ab6e7-e5b2-49df-87f0-f2ea818c7adc,White,41.5,UK 6,White,,Maison Margiela Sneakers White,Sneakers,men/shoes/sneakers
8fb8e378-adfb-45f1-a56e-2421f0e3c427,ANIMALIER,10,UK 10,Multi,Shoes,STRAIGHT FIT PANTS,Trousers,woman/clothing/trousers
08c54317-f879-46ad-82a0-ebb80b8c56cc,White,42,UK 6,White,,Maison Margiela Sneakers White,Sneakers,men/shoes/sneakers
f5891d82-cc47-439f-a1d5-365ea49227e5,White,42.5,UK 6,White,,Maison Margiela Sneakers White,Sneakers,men/shoes/sneakers
1f718629-8aae-4477-8c06-2db16913202e,White,43,UK 6,White,,Maison Margiela Sneakers White,Sneakers,men/shoes/sneakers
49c8b525-d64b-4e80-8cec-b3693dfa1f0a,White,44,UK 6,White,,Maison Margiela Sneakers White,Sneakers,men/shoes/sneakers
45b02813-3057-4687-b52d-f0de9bb59c47,White,45,UK 6,White,,Maison Margiela Sneakers White,Sneakers,men/shoes/sneakers
96f84cb7-850c-4316-a2f7-1e05e11432a6,Black,39,UK 6,Black,,Maison Margiela Flat shoes Black,Flat Shoes,women/shoes/flat-shoes
eec61ef4-ef9d-4b09-bfcc-5173b4e7a98b,Black,40,UK 6,Black,,Maison Margiela Flat shoes Black,Flat Shoes,women/shoes/flat-shoes
42bea9a5-a526-42e5-a948-942da55d7bb4,Black,L,L,Black,,Maison Margiela Tabi knee-high socks,Beachwear & underwear,men/clothing/beachwear-underwear
fa831e74-8e6a-46a1-b75f-1d4715ddcfb9,Black,M,L,Black,,Maison Margiela Tabi knee-high socks,Beachwear & underwear,men/clothing/beachwear-underwear
e8f74421-12e1-45d4-bfb0-90c0e54f6ca8,Black,S,L,Black,,Maison Margiela Tabi knee-high socks,Beachwear & underwear,men/clothing/beachwear-underwear
7c3a1e7f-8730-445e-bba0-ea02c20600be,Blue,L,L,Blue,,Emporio Armani Linen trousers,Trousers,men/clothing/trousers
4c88c869-9001-4a99-9e40-f5f50290c69b,Blue,M,L,Blue,,Emporio Armani Linen trousers,Trousers,men/clothing/trousers
f89aa89c-26bf-4bee-a589-ce73bd676520,Blue,S,L,Blue,,Emporio Armani Linen trousers,Trousers,men/clothing/trousers
5deb365a-a3b5-4a70-acdf-1a22cf53f40f,White,35,UK 3,White,,Maison Margiela Sneakers White,Sneakers,women/shoes/sneakers
a0a58c27-367e-4f02-a8c3-b864414fab64,White,36,UK 3,White,,Maison Margiela Sneakers White,Sneakers,women/shoes/sneakers
1d3df248-a91a-42f7-8ea4-f6aed2e991be,White,36.5,UK 3,White,,Maison Margiela Sneakers White,Sneakers,women/shoes/sneakers
